bbl,events_prev_year,label,snapshot_year,events_3m,events_6m,events_12m,events_24m,days_since_last
1004500035,2,0,2021,0.5,1.0,2,4,30
3050310006,1,0,2021,0.25,0.5,1,2,30
3051720023,1,0,2021,0.25,0.5,1,2,30
1016290062,1,0,2022,0.25,0.5,1,2,30
2025800011,1,0,2022,0.25,0.5,1,2,30
2030500016,1,0,2022,0.25,0.5,1,2,30
2033260001,2,0,2022,0.5,1.0,2,4,30
3012170012,1,0,2022,0.25,0.5,1,2,30
3012960052,2,0,2022,0.5,1.0,2,4,30
3048530086,1,0,2022,0.25,0.5,1,2,30
3053520047,1,0,2022,0.25,0.5,1,2,30
3060060037,1,0,2022,0.25,0.5,1,2,30
3079940058,1,0,2022,0.25,0.5,1,2,30
